version,wl,a0,T_coeff,S_coeff,a0_err,T_err,S_err,a0_raw,S_coeff_raw
2,3486,35831.1633099861,-33.00673772,-201.40585675,852.133915,0.203523,1,35827.16505,-201.34812
2,3488,35366.0688077653,-32.53205744,-199.0875755,807.96205,0.203523,1,35377.31545,-199.029665
2,3490,34908.7252581262,-32.14259218,-197.178784,792.551503,0.203523,1,34913.41854,-197.178784
2,3492,34458.2231231185,-31.76074505,-195.622889111111,775.85726,0.203523,1,34457.94726,-195.632232
2,3494,34015.2452682049,-31.3486369,-194.286867888889,752.598456,0.203523,1,34016.9367,-194.259355
2,3496,33580.0501006417,-30.91116964,-193.072066,726.898419,0.203523,1,33585.16147,-193.072066
2,3498,33151.9974272572,-30.39572004,-191.75069703125,719.806119,0.203523,1,33145.51825,-191.885201
2,3500,32731.8021297633,-29.89180311,-190.2428335,693.070115,0.203523,1,32728.40791,-190.405913
2,3502,32321.4756592969,-29.46962807,-188.67160946875,672.542258,0.203523,1,32314.55919,-188.771789
2,3504,31918.9060898395,-29.04499827,-187.160159,636.286509,0.203523,1,31923.42251,-187.160159
2,3506,31523.4319238767,-28.6014654,-185.874794555556,621.234576,0.203523,1,31526.52918,-185.890751
2,3508,31135.8571297006,-28.23970007,-184.706186777778,605.943814,0.203523,1,31138.8516,-184.632272
2,3510,30754.4858598706,-27.93756909,-183.364007,596.294434,0.203523,1,30756.64384,-183.364007
2,3512,30378.6118459537,-27.59750231,-181.67048790625,590.341054,0.203523,1,30377.35724,-181.580788
2,3514,30009.3562390704,-27.27403555,-179.71046025,574.974459,0.203523,1,30008.06834,-179.625999
2,3516,29646.977531859,-27.02680901,-177.58749246875,556.449156,0.203523,1,29647.46897,-177.481515
2,3518,29291.291488596,-26.77980711,-175.405153,548.557165,0.203523,1,29285.38849,-175.405153
2,3520,28942.8172947576,-26.47600548,-172.993833259259,518.798177,0.203523,1,28946.34571,-173.12651
2,3522,28601.3573555782,-26.15204672,-170.211129407407,509.756779,0.203523,1,28602.06786,-170.246776
2,3524,28266.2176900419,-25.80294582,-167.201417,494.066164,0.203523,1,28268.28061,-167.201417
2,3526,27938.767148761,-25.47618167,-164.3228424375,482.434865,0.203523,1,27935.54963,-164.096593
2,3528,27617.1627340418,-25.17064487,-161.81457125,464.633224,0.203523,1,27612.853,-161.559904
2,3530,27301.2050627933,-24.85308087,-159.6425076875,441.109332,0.203523,1,27298.06525,-159.59097
2,3532,26990.0053990778,-24.55342882,-157.772556,406.100197,0.203523,1,26993.4062,-157.772556
2,3534,26681.3075170651,-24.26528265,-156.144320148148,380.095005,0.203523,1,26685.76776,-156.130448
2,3536,26376.9769872873,-23.94128014,-154.660247851852,350.166369,0.203523,1,26384.91271,-154.65831
2,3538,26076.6507215419,-23.62278191,-153.230509,336.060679,0.203523,1,26079.32309,-153.230509
2,3540,25779.5354836455,-23.36138914,-151.84688096875,329.252313,0.203523,1,25775.6627,-151.793279
2,3542,25486.5444055294,-23.09648438,-150.53091,320.561036,0.203523,1,25479.67088,-150.412702
2,3544,25198.5901262421,-22.80310613,-149.23741928125,300.400007,0.203523,1,25195.74822,-149.286475
2,3546,24914.9314875256,-22.51254115,-147.921232,288.081668,0.203523,1,24912.62758,-147.921232
2,3548,24636.2539420842,-22.24888996,-146.754842125,267.266965,0.203523,1,24641.98628,-146.601286
2,3550,24361.8606252822,-22.0011945,-145.856448,255.046124,0.203523,1,24371.17818,-145.702661
2,3552,24090.7325226145,-21.73180628,-145.099429375,272.281324,0.203523,1,24085.68582,-145.044513
2,3554,23823.6093870971,-21.4483072,-144.357166,266.523047,0.203523,1,23821.46025,-144.357166
2,3556,23559.2474569343,-21.20203636,-143.5415010625,265.176303,0.203523,1,23559.12335,-143.490328
2,3558,23299.2748260366,-20.95876983,-142.662218,266.883789,0.203523,1,23300.382,-142.692919
2,3560,23044.5929632913,-20.70679222,-141.7396069375,263.47686,0.203523,1,23046.30627,-141.759038
2,3562,22795.0330656666,-20.48037189,-140.793958,258.311346,0.203523,1,22796.98704,-140.793958
2,3564,22551.4548333446,-20.25873366,-139.955521,267.460926,0.203523,1,22544.27728,-139.858229
2,3566,22313.1043560438,-20.03057213,-139.190487666667,251.538357,0.203523,1,22314.61448,-139.046572
2,3568,22080.54403703,-19.80531959,-138.273061,247.91774,0.203523,1,22079.61201,-138.273061
2,3570,21854.7426283072,-19.59830408,-137.11587225,235.373993,0.203523,1,21855.66532,-136.908794
2,3572,21634.3250243669,-19.40748608,-135.81437775,225.398062,0.203523,1,21631.30358,-135.730589
